ID,DOLLAR_ID,PE_INTERFACE,PE_IP,PE_HOSTNAME,DISTRICTID,EXCHANGENAME,VENDORID,NOOR_SUB,ETISILAT_SUB,ORANGE_SUB,VODA_SUB,BITSTREAM_DATA_SUB,WE_DATA_SUB,TOTAL_VOICE_SUB,REGIONID,SECTOR,LAT,LONG,HOSTNAME,MSANCODE,SECTOR_ARABIC,REGION_NAME,SECTORID,SHELF,TEDATAIP,TE_IP,,NODENAME,ROWVERSION,HASERRORS,INSERTION,CAPACITY,,VIC
2311448,465342363,GE-1/0/9,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,32,10,28,70,510,641,51,8,30.70811,31.24047,ZFTHCB39-M01H-GH-EG,08-1-18-39,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.89.130,10.237.74.114,,08-1-18-39_M01H_ZEFTAH_R02J,2026-05-14-10.14.36.000000,0,2026-06-01-06.18.34.632912,,,NO
2311449,465342364,GE-0/2/5,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,27,1,9,37,147,191,51,8,30.72729,31.2421,ZEFTHC15-M01H-GH-EG,08-1-18-15,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.162,10.239.236.178,,08-1-18-15_M01H_ZEFTAH_R02J,2024-11-12-13.30.18.000000,0,2026-06-01-06.18.34.632912,,,NO
2311450,465342365,GE-1/0/3,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,1,22,7,24,54,438,522,51,8,30.71772,31.23678,ZEFTAH33-M01H-GH-EG,08-1-18-33,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.89.82,10.237.74.66,,08-1-18-33_M01H_ZEFTAH_R02J,2026-02-15-15.37.34.000000,0,2026-06-01-06.18.34.632912,,,NO
2311451,465342366,GE-0/2/7,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,0,0,0,0,1,1,51,8,30.6964,31.25238,ZEFTAH17-M01H-GH-EG,08-1-18-17,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.178,10.239.236.194,,08-1-18-17_M01H_ZEFTAH_R02J,2026-02-16-15.27.38.000000,0,2026-06-01-06.18.34.632912,,,NO
2311452,465342367,GE-0/2/9,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,0,0,0,0,0,0,51,8,30.70276,31.2568,ZEFTHC19-M01H-GH-EG,08-1-18-19,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.194,10.239.236.210,,08-1-18-19_M01H_ZEFTAH_R02J,2026-01-15-15.55.00.000000,0,2026-06-01-06.18.34.632912,,,NO
2311453,465342368,GE-0/3/3,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,30,19,38,87,490,618,51,8,30.71107,31.23689,ZEFTHC23-M01H-GH-EG,08-1-18-23,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.226,10.239.236.242,,08-1-18-23_M01H_ZEFTAH_R02J,2025-10-08-11.48.16.000000,0,2026-06-01-06.18.34.632912,,,NO
2311454,465342369,GE-0/0/6,10.45.9.66,BSNDELA-R01J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,BASANDELA...DK,HUAWEI_GPON,0,23,4,25,52,396,456,46,7,31.19318,31.41797,BSNDELC5-M01H-DK-EG,07-2-419-05,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.92.218,10.239.132.130,,07-2-419-05_M01H_BSNDELA_R01J,2026-04-28-13.40.09.000000,0,2026-06-01-06.18.34.632912,,,NO
2311455,465342370,GE-0/3/4,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,35,3,22,60,251,335,51,8,30.72522,31.2437,ZEFTHC24-M01H-GH-EG,08-1-18-24,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.242,10.239.236.250,,08-1-18-24_M01H_ZEFTAH_R02J,2025-09-15-14.15.32.000000,0,2026-06-01-06.18.34.632912,,,NO
2311456,465342371,GE-0/0/8,10.45.9.66,BSNDELA-R01J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,BASANDELA...DK,HUAWEI_GPON,0,11,4,13,28,385,422,46,7,31.21353,31.43397,BSNDELC7-M01H-DK-EG,07-2-419-07,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.92.242,10.239.132.146,,07-2-419-07_M01H_BSNDELA_R01J,2024-05-22-04.24.43.000000,0,2026-06-01-06.18.34.632912,,,NO
2311457,465342372,GE-0/0/7,10.45.9.66,BSNDELA-R01J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,BASANDELA...DK,HUAWEI_GPON,0,15,9,24,48,312,369,46,7,31.20454,31.40936,BSNDELC6-M01H-DK-EG,07-2-419-06,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.92.226,10.239.132.138,,07-2-419-06_M01H_BSNDELA_R01J,2024-05-22-04.28.45.000000,0,2026-06-01-06.18.34.632912,,,NO
